lte021-4.0+0.5a+0.0.BT-Settl.spec.gz, 1.774342606772e+01, 1.456958123526e+01, 1.243387740470e+01, 1.041232263435e+01, 8.500541848785e+00, 1.499999999001e+01 
lte021-4.5+0.5a+0.0.BT-Settl.spec.gz, 2.018529124315e+01, 1.509920003466e+01, 1.236506935503e+01, 1.047325785513e+01, 8.233341354838e+00, 1.499999999002e+01 
lte021-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.087030198227e+01, 1.528561053120e+01, 1.251619809640e+01, 1.058729199506e+01, 8.397574463053e+00, 1.499999999002e+01 
lte022-4.0+0.5a+0.0.BT-Settl.spec.gz, 1.767955781281e+01, 1.445866111999e+01, 1.237268363150e+01, 1.015739786006e+01, 7.963202372365e+00, 1.499999999001e+01 
lte022-4.5+0.5a+0.0.BT-Settl.spec.gz, 1.903627595496e+01, 1.480860028320e+01, 1.247696865700e+01, 1.041850739818e+01, 8.246616999037e+00, 1.499999999001e+01 
lte022-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.053023374087e+01, 1.514226470093e+01, 1.253875074118e+01, 1.055198411861e+01, 8.338809555232e+00, 1.499999999002e+01 
lte023-4.5+0.5a+0.0.BT-Settl.spec.gz, 1.836341506082e+01, 1.464474315820e+01, 1.252711100889e+01, 1.038244015486e+01, 8.308961560030e+00, 1.499999999001e+01 
lte023-5.0+0.5a+0.0.BT-Settl.spec.gz, 1.827231131551e+01, 1.457283150884e+01, 1.269860311447e+01, 1.062117852087e+01, 9.222671638905e+00, 1.499999999001e+01 
lte024-4.5+0.5a+0.0.BT-Settl.spec.gz, 1.711311135638e+01, 1.415988831712e+01, 1.252323762685e+01, 1.002514070909e+01, 8.026408673537e+00, 1.499999999000e+01 
lte024-5.0+0.5a+0.0.BT-Settl.spec.gz, 1.810239588865e+01, 1.467227526522e+01, 1.282230563576e+01, 1.089364831884e+01, 9.469725152310e+00, 1.499999999001e+01 
lte025-4.5+0.5a+0.0.BT-Settl.spec.gz, 1.625849354485e+01, 1.377734283726e+01, 1.259011157120e+01, 9.879740306725e+00, 8.062952334394e+00, 1.499999999001e+01 
lte025-5.0+0.5a+0.0.BT-Settl.spec.gz, 1.715965685696e+01, 1.401500657003e+01, 1.252694659278e+01, 9.887500929784e+00, 8.044913140012e+00, 1.499999999001e+01 
lte025-5.5+0.5a+0.0.BT-Settl.spec.gz, 1.808051165673e+01, 1.426426149832e+01, 1.248330009261e+01, 9.934113703264e+00, 8.093695942148e+00, 1.499999999002e+01 
lte026-4.5+0.5a+0.0.BT-Settl.spec.gz, 1.624764213617e+01, 1.387887318040e+01, 1.275716256727e+01, 1.018928348486e+01, 8.539570925895e+00, 1.499999999001e+01 
